GEN_BLD_YRS_1	GEN_BLD_YRS_2	gen_overnight_cost	gen_fixed_om
Oahu_CentralTrackingPV_PV_08	2025	0	0
Oahu_CentralTrackingPV_PV_08	2030	0	0
Oahu_CentralTrackingPV_PV_08	2035	0	0
Oahu_CentralTrackingPV_PV_08	2040	0	0
Oahu_CentralTrackingPV_PV_09	2020	0	0
Oahu_CentralTrackingPV_PV_09	2022	0	0
Oahu_CentralTrackingPV_PV_09	2025	0	0
Oahu_CentralTrackingPV_PV_09	2030	0	0
Oahu_CentralTrackingPV_PV_09	2035	0	0
Oahu_CentralTrackingPV_PV_09	2040	0	0
Oahu_CentralTrackingPV_PV_10	2020	0	0
Oahu_CentralTrackingPV_PV_10	2022	0	0
Oahu_CentralTrackingPV_PV_10	2025	0	0
Oahu_CentralTrackingPV_PV_10	2030	0	0
Oahu_CentralTrackingPV_PV_10	2035	0	0
Oahu_CentralTrackingPV_PV_10	2040	0	0
Oahu_CentralTrackingPV_PV_11	2020	0	0
Oahu_CentralTrackingPV_PV_11	2022	0	0
Oahu_CentralTrackingPV_PV_11	2025	0	0
Oahu_CentralTrackingPV_PV_11	2030	0	0
Oahu_CentralTrackingPV_PV_11	2035	0	0
Oahu_CentralTrackingPV_PV_11	2040	0	0
Oahu_CentralTrackingPV_PV_12	2020	0	0
Oahu_CentralTrackingPV_PV_12	2022	0	0
Oahu_CentralTrackingPV_PV_12	2025	0	0
Oahu_CentralTrackingPV_PV_12	2030	0	0
Oahu_CentralTrackingPV_PV_12	2035	0	0
Oahu_CentralTrackingPV_PV_12	2040	0	0
Oahu_CentralTrackingPV_PV_13	2020	0	0
Oahu_CentralTrackingPV_PV_13	2022	0	0
Oahu_CentralTrackingPV_PV_13	2025	0	0
Oahu_CentralTrackingPV_PV_13	2030	0	0
Oahu_CentralTrackingPV_PV_13	2035	0	0
Oahu_CentralTrackingPV_PV_13	2040	0	0
Oahu_CentralTrackingPV_PV_14	2020	0	0
Oahu_CentralTrackingPV_PV_14	2022	0	0
Oahu_CentralTrackingPV_PV_14	2025	0	0
Oahu_CentralTrackingPV_PV_14	2030	0	0
Oahu_CentralTrackingPV_PV_14	2035	0	0
Oahu_CentralTrackingPV_PV_14	2040	0	0
Oahu_CentralTrackingPV_PV_15	2020	0	0
Oahu_CentralTrackingPV_PV_15	2022	0	0
Oahu_CentralTrackingPV_PV_15	2025	0	0
Oahu_CentralTrackingPV_PV_15	2030	0	0
Oahu_CentralTrackingPV_PV_15	2035	0	0
Oahu_CentralTrackingPV_PV_15	2040	0	0
Oahu_CentralTrackingPV_PV_16	2020	0	0
Oahu_CentralTrackingPV_PV_16	2022	0	0
Oahu_CentralTrackingPV_PV_16	2025	0	0
Oahu_CentralTrackingPV_PV_16	2030	0	0
Oahu_CentralTrackingPV_PV_16	2035	0	0
Oahu_CentralTrackingPV_PV_16	2040	0	0
Oahu_CentralTrackingPV_PV_17	2020	0	0
Oahu_CentralTrackingPV_PV_17	2022	0	0
Oahu_CentralTrackingPV_PV_17	2025	0	0
Oahu_CentralTrackingPV_PV_17	2030	0	0
Oahu_CentralTrackingPV_PV_17	2035	0	0
Oahu_CentralTrackingPV_PV_17	2040	0	0
Oahu_CentralTrackingPV_PV_18	2020	0	0
Oahu_CentralTrackingPV_PV_18	2022	0	0
Oahu_CentralTrackingPV_PV_18	2025	0	0
Oahu_CentralTrackingPV_PV_18	2030	0	0
Oahu_CentralTrackingPV_PV_18	2035	0	0
Oahu_CentralTrackingPV_PV_18	2040	0	0
Oahu_Coal_Generic	2020	0	0
Oahu_Coal_Generic	2022	0	0
Oahu_Coal_Generic	2025	0	0
Oahu_Coal_Generic	2030	0	0
Oahu_Coal_Generic	2035	0	0
Oahu_Coal_Generic	2040	0	0
Oahu_DistPV_Oahu_DistPV_0	2020	0	0
Oahu_DistPV_Oahu_DistPV_0	2022	0	0
Oahu_DistPV_Oahu_DistPV_0	2025	0	0
Oahu_DistPV_Oahu_DistPV_0	2030	0	0
Oahu_DistPV_Oahu_DistPV_0	2035	0	0
Oahu_DistPV_Oahu_DistPV_0	2040	0	0
Oahu_DistPV_Oahu_DistPV_1	2016	0	0
Oahu_DistPV_Oahu_DistPV_1	2020	0	0
Oahu_DistPV_Oahu_DistPV_1	2022	0	0
Oahu_DistPV_Oahu_DistPV_1	2025	0	0
Oahu_DistPV_Oahu_DistPV_1	2030	0	0
Oahu_DistPV_Oahu_DistPV_1	2035	0	0
Oahu_DistPV_Oahu_DistPV_1	2040	0	0
Oahu_DistPV_Oahu_DistPV_10	2016	0	0
Oahu_DistPV_Oahu_DistPV_10	2020	0	0
Oahu_DistPV_Oahu_DistPV_10	2022	0	0
Oahu_DistPV_Oahu_DistPV_10	2025	0	0
Oahu_DistPV_Oahu_DistPV_10	2030	0	0
Oahu_DistPV_Oahu_DistPV_10	2035	0	0
Oahu_DistPV_Oahu_DistPV_10	2040	0	0
Oahu_DistPV_Oahu_DistPV_11	2016	0	0
Oahu_DistPV_Oahu_DistPV_11	2020	0	0
Oahu_DistPV_Oahu_DistPV_11	2022	0	0
Oahu_DistPV_Oahu_DistPV_11	2025	0	0
Oahu_DistPV_Oahu_DistPV_11	2030	0	0
Oahu_DistPV_Oahu_DistPV_11	2035	0	0
Oahu_DistPV_Oahu_DistPV_11	2040	0	0
Oahu_DistPV_Oahu_DistPV_12	2020	0	0
Oahu_DistPV_Oahu_DistPV_12	2022	0	0
Oahu_DistPV_Oahu_DistPV_12	2025	0	0
Oahu_DistPV_Oahu_DistPV_12	2030	0	0
Oahu_DistPV_Oahu_DistPV_12	2035	0	0
Oahu_DistPV_Oahu_DistPV_12	2040	0	0
Oahu_DistPV_Oahu_DistPV_13	2020	0	0
Oahu_DistPV_Oahu_DistPV_13	2022	0	0
Oahu_DistPV_Oahu_DistPV_13	2025	0	0
Oahu_DistPV_Oahu_DistPV_13	2030	0	0
Oahu_DistPV_Oahu_DistPV_13	2035	0	0
Oahu_DistPV_Oahu_DistPV_13	2040	0	0
Oahu_DistPV_Oahu_DistPV_14	2020	0	0
Oahu_DistPV_Oahu_DistPV_14	2022	0	0
Oahu_DistPV_Oahu_DistPV_14	2025	0	0
Oahu_DistPV_Oahu_DistPV_14	2030	0	0
Oahu_DistPV_Oahu_DistPV_14	2035	0	0
Oahu_DistPV_Oahu_DistPV_14	2040	0	0
Oahu_DistPV_Oahu_DistPV_15	2020	0	0
Oahu_DistPV_Oahu_DistPV_15	2022	0	0
Oahu_DistPV_Oahu_DistPV_15	2025	0	0
Oahu_DistPV_Oahu_DistPV_15	2030	0	0
Oahu_DistPV_Oahu_DistPV_15	2035	0	0
Oahu_DistPV_Oahu_DistPV_15	2040	0	0
Oahu_DistPV_Oahu_DistPV_16	2020	0	0
Oahu_DistPV_Oahu_DistPV_16	2022	0	0
Oahu_DistPV_Oahu_DistPV_16	2025	0	0
Oahu_DistPV_Oahu_DistPV_16	2030	0	0
Oahu_DistPV_Oahu_DistPV_16	2035	0	0
Oahu_DistPV_Oahu_DistPV_16	2040	0	0
Oahu_DistPV_Oahu_DistPV_17	2020	0	0
Oahu_DistPV_Oahu_DistPV_17	2022	0	0
Oahu_DistPV_Oahu_DistPV_17	2025	0	0
Oahu_DistPV_Oahu_DistPV_17	2030	0	0
Oahu_DistPV_Oahu_DistPV_17	2035	0	0
Oahu_DistPV_Oahu_DistPV_17	2040	0	0
Oahu_DistPV_Oahu_DistPV_18	2020	0	0
Oahu_DistPV_Oahu_DistPV_18	2022	0	0
Oahu_DistPV_Oahu_DistPV_18	2025	0	0
Oahu_DistPV_Oahu_DistPV_18	2030	0	0
Oahu_DistPV_Oahu_DistPV_18	2035	0	0
Oahu_DistPV_Oahu_DistPV_18	2040	0	0
Oahu_DistPV_Oahu_DistPV_19	2020	0	0
Oahu_DistPV_Oahu_DistPV_19	2022	0	0
Oahu_DistPV_Oahu_DistPV_19	2025	0	0
Oahu_DistPV_Oahu_DistPV_19	2030	0	0
Oahu_DistPV_Oahu_DistPV_19	2035	0	0
Oahu_DistPV_Oahu_DistPV_19	2040	0	0
Oahu_DistPV_Oahu_DistPV_2	2016	0	0
Oahu_DistPV_Oahu_DistPV_2	2020	0	0
Oahu_DistPV_Oahu_DistPV_2	2022	0	0
Oahu_DistPV_Oahu_DistPV_2	2025	0	0
Oahu_DistPV_Oahu_DistPV_2	2030	0	0
Oahu_DistPV_Oahu_DistPV_2	2035	0	0
Oahu_DistPV_Oahu_DistPV_2	2040	0	0
Oahu_DistPV_Oahu_DistPV_3	2016	0	0
Oahu_DistPV_Oahu_DistPV_3	2020	0	0
Oahu_DistPV_Oahu_DistPV_3	2022	0	0
Oahu_DistPV_Oahu_DistPV_3	2025	0	0
Oahu_DistPV_Oahu_DistPV_3	2030	0	0
Oahu_DistPV_Oahu_DistPV_3	2035	0	0
Oahu_DistPV_Oahu_DistPV_3	2040	0	0
Oahu_DistPV_Oahu_DistPV_4	2020	0	0
Oahu_DistPV_Oahu_DistPV_4	2022	0	0
Oahu_DistPV_Oahu_DistPV_4	2025	0	0
Oahu_DistPV_Oahu_DistPV_4	2030	0	0
Oahu_DistPV_Oahu_DistPV_4	2035	0	0
Oahu_DistPV_Oahu_DistPV_4	2040	0	0
Oahu_DistPV_Oahu_DistPV_5	2016	0	0
Oahu_DistPV_Oahu_DistPV_5	2020	0	0
Oahu_DistPV_Oahu_DistPV_5	2022	0	0
Oahu_DistPV_Oahu_DistPV_5	2025	0	0
Oahu_DistPV_Oahu_DistPV_5	2030	0	0
Oahu_DistPV_Oahu_DistPV_5	2035	0	0
Oahu_DistPV_Oahu_DistPV_5	2040	0	0
Oahu_DistPV_Oahu_DistPV_6	2016	0	0
Oahu_DistPV_Oahu_DistPV_6	2020	0	0
Oahu_DistPV_Oahu_DistPV_6	2022	0	0
Oahu_DistPV_Oahu_DistPV_6	2025	0	0
Oahu_DistPV_Oahu_DistPV_6	2030	0	0
Oahu_DistPV_Oahu_DistPV_6	2035	0	0
Oahu_DistPV_Oahu_DistPV_6	2040	0	0
Oahu_DistPV_Oahu_DistPV_7	2016	0	0
Oahu_DistPV_Oahu_DistPV_7	2020	0	0
Oahu_DistPV_Oahu_DistPV_7	2022	0	0
Oahu_DistPV_Oahu_DistPV_7	2025	0	0
Oahu_DistPV_Oahu_DistPV_7	2030	0	0
Oahu_DistPV_Oahu_DistPV_7	2035	0	0
Oahu_DistPV_Oahu_DistPV_7	2040	0	0
Oahu_DistPV_Oahu_DistPV_8	2016	0	0
Oahu_DistPV_Oahu_DistPV_8	2020	0	0
Oahu_DistPV_Oahu_DistPV_8	2022	0	0
Oahu_DistPV_Oahu_DistPV_8	2025	0	0
Oahu_DistPV_Oahu_DistPV_8	2030	0	0
Oahu_DistPV_Oahu_DistPV_8	2035	0	0
Oahu_DistPV_Oahu_DistPV_8	2040	0	0
Oahu_DistPV_Oahu_DistPV_9	2016	0	0
Oahu_DistPV_Oahu_DistPV_9	2020	0	0
Oahu_DistPV_Oahu_DistPV_9	2022	0	0
Oahu_DistPV_Oahu_DistPV_9	2025	0	0
Oahu_DistPV_Oahu_DistPV_9	2030	0	0
Oahu_DistPV_Oahu_DistPV_9	2035	0	0
Oahu_DistPV_Oahu_DistPV_9	2040	0	0
Oahu_H-Power	1989	0	0
Oahu_IC_Barge	2020	0	0
Oahu_IC_Barge	2022	0	0
Oahu_IC_Barge	2025	0	0
Oahu_IC_Barge	2030	0	0
Oahu_IC_Barge	2035	0	0
Oahu_IC_Barge	2040	0	0
Oahu_IC_Barge_Generic	2020	0	0
Oahu_IC_Barge_Generic	2022	0	0
Oahu_IC_Barge_Generic	2025	0	0
Oahu_IC_Barge_Generic	2030	0	0
Oahu_IC_Barge_Generic	2035	0	0
Oahu_IC_Barge_Generic	2040	0	0
Oahu_IC_MCBH	2020	0	0
Oahu_IC_MCBH	2022	0	0
Oahu_IC_MCBH	2025	0	0
Oahu_IC_MCBH	2030	0	0
Oahu_IC_MCBH	2035	0	0
Oahu_IC_MCBH	2040	0	0
Oahu_IC_MCBH_Generic	2020	0	0
Oahu_IC_MCBH_Generic	2022	0	0
Oahu_IC_MCBH_Generic	2025	0	0
Oahu_IC_MCBH_Generic	2030	0	0
Oahu_IC_MCBH_Generic	2035	0	0
Oahu_IC_MCBH_Generic	2040	0	0
Oahu_IC_Schofield	2020	0	0
Oahu_IC_Schofield	2022	0	0
Oahu_IC_Schofield	2025	0	0
Oahu_IC_Schofield	2030	0	0
Oahu_IC_Schofield	2035	0	0
Oahu_IC_Schofield	2040	0	0
Oahu_IC_Schofield_Generic	2020	0	0
Oahu_IC_Schofield_Generic	2022	0	0
Oahu_IC_Schofield_Generic	2025	0	0
Oahu_IC_Schofield_Generic	2030	0	0
Oahu_IC_Schofield_Generic	2035	0	0
Oahu_IC_Schofield_Generic	2040	0	0
Oahu_Kahe_4	1972	0	0
Oahu_Kahe_5	1974	0	0
Oahu_Kahe_6	1981	0	0
Oahu_Kalaeloa_CC1	1989	0	0
Oahu_Kalaeloa_CC2	1991	0	0
Oahu_Kalaeloa_CC3	1991	0	0
Oahu_OffshoreWind_OffWind	2020	0	0
Oahu_OffshoreWind_OffWind	2022	0	0
Oahu_OffshoreWind_OffWind	2025	0	0
Oahu_OffshoreWind_OffWind	2030	0	0
Oahu_OffshoreWind_OffWind	2035	0	0
Oahu_OffshoreWind_OffWind	2040	0	0
Oahu_OnshoreWind_OnWind_101	2020	0	0
Oahu_OnshoreWind_OnWind_101	2022	0	0
Oahu_OnshoreWind_OnWind_101	2025	0	0
Oahu_OnshoreWind_OnWind_101	2030	0	0
Oahu_OnshoreWind_OnWind_101	2035	0	0
Oahu_OnshoreWind_OnWind_101	2040	0	0
Oahu_OnshoreWind_OnWind_102	2020	0	0
Oahu_OnshoreWind_OnWind_102	2022	0	0
Oahu_OnshoreWind_OnWind_102	2025	0	0
Oahu_OnshoreWind_OnWind_102	2030	0	0
Oahu_OnshoreWind_OnWind_102	2035	0	0
Oahu_OnshoreWind_OnWind_102	2040	0	0
Oahu_OnshoreWind_OnWind_103	2020	0	0
Oahu_OnshoreWind_OnWind_103	2022	0	0
Oahu_OnshoreWind_OnWind_103	2025	0	0
Oahu_OnshoreWind_OnWind_103	2030	0	0
Oahu_OnshoreWind_OnWind_103	2035	0	0
Oahu_OnshoreWind_OnWind_103	2040	0	0
Oahu_OnshoreWind_OnWind_104	2020	0	0
Oahu_OnshoreWind_OnWind_104	2022	0	0
Oahu_OnshoreWind_OnWind_104	2025	0	0
Oahu_OnshoreWind_OnWind_104	2030	0	0
Oahu_OnshoreWind_OnWind_104	2035	0	0
Oahu_OnshoreWind_OnWind_104	2040	0	0
Oahu_OnshoreWind_OnWind_105	2020	0	0
Oahu_OnshoreWind_OnWind_105	2022	0	0
Oahu_OnshoreWind_OnWind_105	2025	0	0
Oahu_OnshoreWind_OnWind_105	2030	0	0
Oahu_OnshoreWind_OnWind_105	2035	0	0
Oahu_OnshoreWind_OnWind_105	2040	0	0
Oahu_OnshoreWind_OnWind_106	2020	0	0
Oahu_OnshoreWind_OnWind_106	2022	0	0
Oahu_OnshoreWind_OnWind_106	2025	0	0
Oahu_OnshoreWind_OnWind_106	2030	0	0
Oahu_OnshoreWind_OnWind_106	2035	0	0
Oahu_OnshoreWind_OnWind_106	2040	0	0
Oahu_OnshoreWind_OnWind_107	2020	0	0
Oahu_OnshoreWind_OnWind_107	2022	0	0
Oahu_OnshoreWind_OnWind_107	2025	0	0
Oahu_OnshoreWind_OnWind_107	2030	0	0
Oahu_OnshoreWind_OnWind_107	2035	0	0
Oahu_OnshoreWind_OnWind_107	2040	0	0
Oahu_OnshoreWind_OnWind_201	2020	0	0
Oahu_OnshoreWind_OnWind_201	2022	0	0
Oahu_OnshoreWind_OnWind_201	2025	0	0
Oahu_OnshoreWind_OnWind_201	2030	0	0
Oahu_OnshoreWind_OnWind_201	2035	0	0
Oahu_OnshoreWind_OnWind_201	2040	0	0
Oahu_OnshoreWind_OnWind_202	2020	0	0
Oahu_OnshoreWind_OnWind_202	2022	0	0
Oahu_OnshoreWind_OnWind_202	2025	0	0
Oahu_OnshoreWind_OnWind_202	2030	0	0
Oahu_OnshoreWind_OnWind_202	2035	0	0
Oahu_OnshoreWind_OnWind_202	2040	0	0
Oahu_OnshoreWind_OnWind_203	2020	0	0
Oahu_OnshoreWind_OnWind_203	2022	0	0
Oahu_OnshoreWind_OnWind_203	2025	0	0
Oahu_OnshoreWind_OnWind_203	2030	0	0
Oahu_OnshoreWind_OnWind_203	2035	0	0
Oahu_OnshoreWind_OnWind_203	2040	0	0
Oahu_OnshoreWind_OnWind_204	2020	0	0
Oahu_OnshoreWind_OnWind_204	2022	0	0
Oahu_OnshoreWind_OnWind_204	2025	0	0
Oahu_OnshoreWind_OnWind_204	2030	0	0
Oahu_OnshoreWind_OnWind_204	2035	0	0
Oahu_OnshoreWind_OnWind_204	2040	0	0
Oahu_OnshoreWind_OnWind_205	2020	0	0
Oahu_OnshoreWind_OnWind_205	2022	0	0
Oahu_OnshoreWind_OnWind_205	2025	0	0
Oahu_OnshoreWind_OnWind_205	2030	0	0
Oahu_OnshoreWind_OnWind_205	2035	0	0
Oahu_OnshoreWind_OnWind_205	2040	0	0
Oahu_OnshoreWind_OnWind_206	2020	0	0
Oahu_OnshoreWind_OnWind_206	2022	0	0
Oahu_OnshoreWind_OnWind_206	2025	0	0
Oahu_OnshoreWind_OnWind_206	2030	0	0
Oahu_OnshoreWind_OnWind_206	2035	0	0
Oahu_OnshoreWind_OnWind_206	2040	0	0
Oahu_OnshoreWind_OnWind_207	2020	0	0
Oahu_OnshoreWind_OnWind_207	2022	0	0
Oahu_OnshoreWind_OnWind_207	2025	0	0
Oahu_OnshoreWind_OnWind_207	2030	0	0
Oahu_OnshoreWind_OnWind_207	2035	0	0
Oahu_OnshoreWind_OnWind_207	2040	0	0
Oahu_OnshoreWind_OnWind_208	2020	0	0
Oahu_OnshoreWind_OnWind_208	2022	0	0
Oahu_OnshoreWind_OnWind_208	2025	0	0
Oahu_OnshoreWind_OnWind_208	2030	0	0
Oahu_OnshoreWind_OnWind_208	2035	0	0
Oahu_OnshoreWind_OnWind_208	2040	0	0
Oahu_OnshoreWind_OnWind_209	2020	0	0
Oahu_OnshoreWind_OnWind_209	2022	0	0
Oahu_OnshoreWind_OnWind_209	2025	0	0
Oahu_OnshoreWind_OnWind_209	2030	0	0
Oahu_OnshoreWind_OnWind_209	2035	0	0
Oahu_OnshoreWind_OnWind_209	2040	0	0
Oahu_OnshoreWind_OnWind_301	2020	0	0
Oahu_OnshoreWind_OnWind_301	2022	0	0
Oahu_OnshoreWind_OnWind_301	2025	0	0
Oahu_OnshoreWind_OnWind_301	2030	0	0
Oahu_OnshoreWind_OnWind_301	2035	0	0
Oahu_OnshoreWind_OnWind_301	2040	0	0
Oahu_OnshoreWind_OnWind_302	2020	0	0
Oahu_OnshoreWind_OnWind_302	2022	0	0
Oahu_OnshoreWind_OnWind_302	2025	0	0
Oahu_OnshoreWind_OnWind_302	2030	0	0
Oahu_OnshoreWind_OnWind_302	2035	0	0
Oahu_OnshoreWind_OnWind_302	2040	0	0
Oahu_OnshoreWind_OnWind_303	2020	0	0
Oahu_OnshoreWind_OnWind_303	2022	0	0
Oahu_OnshoreWind_OnWind_303	2025	0	0
Oahu_OnshoreWind_OnWind_303	2030	0	0
Oahu_OnshoreWind_OnWind_303	2035	0	0
Oahu_OnshoreWind_OnWind_303	2040	0	0
Oahu_OnshoreWind_OnWind_304	2020	0	0
Oahu_OnshoreWind_OnWind_304	2022	0	0
Oahu_OnshoreWind_OnWind_304	2025	0	0
Oahu_OnshoreWind_OnWind_304	2030	0	0
Oahu_OnshoreWind_OnWind_304	2035	0	0
Oahu_OnshoreWind_OnWind_304	2040	0	0
Oahu_OnshoreWind_OnWind_305	2020	0	0
Oahu_OnshoreWind_OnWind_305	2022	0	0
Oahu_OnshoreWind_OnWind_305	2025	0	0
Oahu_OnshoreWind_OnWind_305	2030	0	0
Oahu_OnshoreWind_OnWind_305	2035	0	0
Oahu_OnshoreWind_OnWind_305	2040	0	0
Oahu_OnshoreWind_OnWind_306	2020	0	0
Oahu_OnshoreWind_OnWind_306	2022	0	0
Oahu_OnshoreWind_OnWind_306	2025	0	0
Oahu_OnshoreWind_OnWind_306	2030	0	0
Oahu_OnshoreWind_OnWind_306	2035	0	0
Oahu_OnshoreWind_OnWind_306	2040	0	0
Oahu_OnshoreWind_OnWind_307	2020	0	0
Oahu_OnshoreWind_OnWind_307	2022	0	0
Oahu_OnshoreWind_OnWind_307	2025	0	0
Oahu_OnshoreWind_OnWind_307	2030	0	0
Oahu_OnshoreWind_OnWind_307	2035	0	0
Oahu_OnshoreWind_OnWind_307	2040	0	0
Oahu_OnshoreWind_OnWind_308	2020	0	0
Oahu_OnshoreWind_OnWind_308	2022	0	0
Oahu_OnshoreWind_OnWind_308	2025	0	0
Oahu_OnshoreWind_OnWind_308	2030	0	0
Oahu_OnshoreWind_OnWind_308	2035	0	0
Oahu_OnshoreWind_OnWind_308	2040	0	0
Oahu_OnshoreWind_OnWind_309	2020	0	0
Oahu_OnshoreWind_OnWind_309	2022	0	0
Oahu_OnshoreWind_OnWind_309	2025	0	0
Oahu_OnshoreWind_OnWind_309	2030	0	0
Oahu_OnshoreWind_OnWind_309	2035	0	0
Oahu_OnshoreWind_OnWind_309	2040	0	0
Oahu_OnshoreWind_OnWind_401	2020	0	0
Oahu_OnshoreWind_OnWind_401	2022	0	0
Oahu_OnshoreWind_OnWind_401	2025	0	0
Oahu_OnshoreWind_OnWind_401	2030	0	0
Oahu_OnshoreWind_OnWind_401	2035	0	0
Oahu_OnshoreWind_OnWind_401	2040	0	0
Oahu_OnshoreWind_OnWind_402	2020	0	0
Oahu_OnshoreWind_OnWind_402	2022	0	0
Oahu_OnshoreWind_OnWind_402	2025	0	0
Oahu_OnshoreWind_OnWind_402	2030	0	0
Oahu_OnshoreWind_OnWind_402	2035	0	0
Oahu_OnshoreWind_OnWind_402	2040	0	0
Oahu_OnshoreWind_OnWind_403	2020	0	0
Oahu_OnshoreWind_OnWind_403	2022	0	0
Oahu_OnshoreWind_OnWind_403	2025	0	0
Oahu_OnshoreWind_OnWind_403	2030	0	0
Oahu_OnshoreWind_OnWind_403	2035	0	0
Oahu_OnshoreWind_OnWind_403	2040	0	0
Oahu_OnshoreWind_OnWind_404	2020	0	0
Oahu_OnshoreWind_OnWind_404	2022	0	0
Oahu_OnshoreWind_OnWind_404	2025	0	0
Oahu_OnshoreWind_OnWind_404	2030	0	0
Oahu_OnshoreWind_OnWind_404	2035	0	0
Oahu_OnshoreWind_OnWind_404	2040	0	0
Oahu_OnshoreWind_OnWind_405	2020	0	0
Oahu_OnshoreWind_OnWind_405	2022	0	0
Oahu_OnshoreWind_OnWind_405	2025	0	0
Oahu_OnshoreWind_OnWind_405	2030	0	0
Oahu_OnshoreWind_OnWind_405	2035	0	0
Oahu_OnshoreWind_OnWind_405	2040	0	0
Oahu_OnshoreWind_OnWind_406	2020	0	0
Oahu_OnshoreWind_OnWind_406	2022	0	0
Oahu_OnshoreWind_OnWind_406	2025	0	0
Oahu_OnshoreWind_OnWind_406	2030	0	0
Oahu_OnshoreWind_OnWind_406	2035	0	0
Oahu_OnshoreWind_OnWind_406	2040	0	0
Oahu_OnshoreWind_OnWind_407	2020	0	0
Oahu_OnshoreWind_OnWind_407	2022	0	0
Oahu_OnshoreWind_OnWind_407	2025	0	0
Oahu_OnshoreWind_OnWind_407	2030	0	0
Oahu_OnshoreWind_OnWind_407	2035	0	0
Oahu_OnshoreWind_OnWind_407	2040	0	0
Oahu_OnshoreWind_OnWind_408	2020	0	0
Oahu_OnshoreWind_OnWind_408	2022	0	0
Oahu_OnshoreWind_OnWind_408	2025	0	0
Oahu_OnshoreWind_OnWind_408	2030	0	0
Oahu_OnshoreWind_OnWind_408	2035	0	0
Oahu_OnshoreWind_OnWind_408	2040	0	0
